gbifID,license,modified,references,rightsHolder,institutionCode,collectionCode,datasetName,basisOfRecord,informationWithheld,caste,vitality,occurrenceStatus,eventDate,eventTime,month,verbatimEventDate,continent,countryCode,stateProvince,verbatimLocality,latitude,longitude,coordinateUncertaintyInMeters,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,kingdom,phylum,class,order,family,genus,genericName,specificEpithet,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,iucnRedListCategory,format,identifier,references_2,created
5761150989,CC_BY_NC_4_0,2025/08/26 06:25:43+00,https://www.inaturalist.org/observations/309106442,lupefern,iNaturalist,Observations,iNaturalist research-grade observations,HUMAN_OBSERVATION,,https://www.inaturalist.org/observations/309106442,309106442,PRESENT,2025/08/25,14:41:00,8,2025/08/25 2:41 PM,NORTH_AMERICA,US,California,"Long Beach, CA, USA",33.808171,-118.204593,414,687528308,,,,lupefern,,2025/08/25,,,,4793,,,,,,,,"Charadrius vociferus Linnaeus, 1758",Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius,vociferus,StillImage,true,false,2480320,2480320,1,44,212,7192402,2480210,2480277,2480320,Charadrius vociferus,"Charadrius vociferus Linnaeus, 1758",Charadrius vociferus,https://www.inaturalist.org/projects/california-birds,false,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,NT,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/557742858/original.jpg,https://www.inaturalist.org/photos/557742858,2025/08/25 21:41:22+00
5761149734,CC_BY_4_0,2025/08/31 07:35:24+00,https://www.inaturalist.org/observations/310390877,Gregg McClain,iNaturalist,Observations,iNaturalist research-grade observations,HUMAN_OBSERVATION,,https://www.inaturalist.org/observations/310390877,310390877,PRESENT,2025/08/30,08:59:00,8,2025/08/30 8:59 AM,NORTH_AMERICA,US,California,"South Wrigley, Long Beach, CA 90806, USA",33.803837,-118.204568,,690255168,,,,Gregg McClain,,2025/08/31,,,,3892,,,,,,,,"Tringa melanoleuca (J.F.Gmelin, 1789)",Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa,melanoleuca,StillImage,true,false,2481720,2481720,1,44,212,7192402,5282,2481709,2481720,Tringa melanoleuca,"Tringa melanoleuca (J.F.Gmelin, 1789)",Tringa melanoleuca,https://www.inaturalist.org/projects/california-birds,false,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,NT,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/560193185/original.jpg,https://www.inaturalist.org/photos/560193185,2025/08/30 15:59:54+00
5761147450,CC_BY_4_0,2025/09/01 09:15:19+00,https://www.inaturalist.org/observations/310390889,Gregg McClain,iNaturalist,Observations,iNaturalist research-grade observations,HUMAN_OBSERVATION,,https://www.inaturalist.org/observations/310390889,310390889,PRESENT,2025/08/30,09:05:00,8,2025/08/30 9:05 AM,NORTH_AMERICA,US,California,"Long Beach, CA, USA",33.804738,-118.20465,,690255188,,,,Gregg McClain,,2025/08/31,,,,4836,,,,,,,,"Himantopus mexicanus (P.L.S.Müller, 1776)",Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus,mexicanus,StillImage,true,false,5229128,5229128,1,44,212,7192402,4287244,2480217,5229128,Himantopus mexicanus,"Himantopus mexicanus (P.L.S.Müller, 1776)",Himantopus mexicanus,https://www.inaturalist.org/projects/california-birds,false,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/560193256/original.jpg,https://www.inaturalist.org/photos/560193256,2025/08/30 16:05:07+00
5761111593,CC_BY_NC_4_0,2025/08/24 07:26:52+00,https://www.inaturalist.org/observations/307414812,thehumuhumu,iNaturalist,Observations,iNaturalist research-grade observations,HUMAN_OBSERVATION,,https://www.inaturalist.org/observations/307414812,307414812,PRESENT,2025/08/18,13:32:22,8,2025-08-18 13:32:22-07:00,NORTH_AMERICA,US,California,"San Francisco Ave, Long Beach, CA, US",33.803422,-118.204095,13,684283187,,,,mel,,2025/08/19,,,,57983,,,,,,,,Helianthus annuus L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus,annuus,StillImage,true,false,9206251,9206251,6,7707728,220,414,3065,3119134,9206251,Helianthus annuus,Helianthus annuus L.,Helianthus annuus,,false,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,LC,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/554491768/original.jpg,https://www.inaturalist.org/photos/554491768,2025/08/18 20:32:22+00
5761082823,CC_BY_4_0,2025/08/31 04:25:30+00,https://www.inaturalist.org/observations/310390881,Gregg McClain,iNaturalist,Observations,iNaturalist research-grade observations,HUMAN_OBSERVATION,,https://www.inaturalist.org/observations/310390881,310390881,PRESENT,2025/08/30,09:01:00,8,2025/08/30 9:01 AM,NORTH_AMERICA,US,California,"South Wrigley, Long Beach, CA 90806, USA",33.803837,-118.204568,,690260096,,,,KF,,2025/08/31,,,,558434,,,,,,,,"Spatula cyanoptera (Vieillot, 1816)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Spatula,cyanoptera,StillImage,true,false,9345027,9345027,1,44,212,1108,2986,4850990,9345027,Spatula cyanoptera,"Spatula cyanoptera (Vieillot, 1816)",Spatula cyanoptera,https://www.inaturalist.org/projects/california-birds,false,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,LC,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/560193225/original.jpg,https://www.inaturalist.org/photos/560193225,2025/08/30 16:01:31+00
5761067398,CC_BY_4_0,2025/08/31 18:46:20+00,https://www.inaturalist.org/observations/310390885,Gregg McClain,iNaturalist,Observations,iNaturalist research-grade observations,HUMAN_OBSERVATION,,https://www.inaturalist.org/observations/310390885,310390885,PRESENT,2025/08/30,09:04:00,8,2025/08/30 9:04 AM,NORTH_AMERICA,US,California,"Long Beach, CA, USA",33.804738,-118.20465,,690255180,,,,Gregg McClain,,2025/08/31,,,,144537,,,,,,,,"Hydroprogne caspia (Pallas, 1770)",Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,Hydroprogne,caspia,StillImage,true,false,2481236,2481236,1,44,212,7192402,9316,2481219,2481236,Hydroprogne caspia,"Hydroprogne caspia (Pallas, 1770)",Hydroprogne caspia,https://www.inaturalist.org/projects/california-birds,false,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,LC,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/560193249/original.jpg,https://www.inaturalist.org/photos/560193249,2025/08/30 16:04:53+00
5761029274,CC_BY_NC_4_0,2025/09/02 02:44:47+00,https://www.inaturalist.org/observations/310647106,✨🌱 The Believing Naturalist 🌱✨,iNaturalist,Observations,iNaturalist research-grade observations,HUMAN_OBSERVATION,,https://www.inaturalist.org/observations/310647106,310647106,PRESENT,2025/08/31,10:09:26,8,2025-08-31 10:09:26,NORTH_AMERICA,US,California,"Los Angeles River Bicycle Trail, Long Beach, CA, US",33.800953,-118.204505,5,690753607,,,,✨🌱 The Believing Naturalist 🌱✨,,2025/09/01,,,,4665,,,,,,,,"Falco sparverius Linnaeus, 1758",Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco,sparverius,StillImage,true,false,9685907,9685907,1,44,212,7191407,5240,2480996,9685907,Falco sparverius,"Falco sparverius Linnaeus, 1758",Falco sparverius,https://www.inaturalist.org/projects/california-birds,false,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,LC,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/560681040/original.jpg,https://www.inaturalist.org/photos/560681040,2025/08/31 17:11:07+00
5761018638,CC_BY_4_0,2025/08/31 04:04:49+00,https://www.inaturalist.org/observations/310390884,Gregg McClain,iNaturalist,Observations,iNaturalist research-grade observations,HUMAN_OBSERVATION,,https://www.inaturalist.org/observations/310390884,310390884,PRESENT,2025/08/30,09:04:00,8,2025/08/30 9:04 AM,NORTH_AMERICA,US,California,"Long Beach, CA, USA",33.804738,-118.20465,,690255179,,,,Gregg McClain,,2025/08/31,,,,4885,,,,,,,,"Recurvirostra americana J.F.Gmelin, 1789",Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra,americana,StillImage,true,false,2480258,2480258,1,44,212,7192402,4287244,2480255,2480258,Recurvirostra americana,"Recurvirostra americana J.F.Gmelin, 1789",Recurvirostra americana,https://www.inaturalist.org/projects/california-birds,false,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,LC,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/560193243/original.jpg,https://www.inaturalist.org/photos/560193243,2025/08/30 16:04:48+00
5760976204,CC_BY_4_0,2025/08/31 07:35:45+00,https://www.inaturalist.org/observations/310390872,Gregg McClain,iNaturalist,Observations,iNaturalist research-grade observations,HUMAN_OBSERVATION,,https://www.inaturalist.org/observations/310390872,310390872,PRESENT,2025/08/30,08:59:00,8,2025/08/30 8:59 AM,NORTH_AMERICA,US,California,"South Wrigley, Long Beach, CA 90806, USA",33.803837,-118.204568,,690255159,,,,Gregg McClain,,2025/08/31,,,,3893,,,,,,,,"Tringa flavipes (J.F.Gmelin, 1789)",Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa,flavipes,StillImage,true,false,2481721,2481721,1,44,212,7192402,5282,2481709,2481721,Tringa flavipes,"Tringa flavipes (J.F.Gmelin, 1789)",Tringa flavipes,https://www.inaturalist.org/projects/california-birds,false,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,VU,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/560193177/original.jpg,https://www.inaturalist.org/photos/560193177,2025/08/30 15:59:45+00
5760971472,CC_BY_NC_4_0,2025/09/01 01:05:33+00,https://www.inaturalist.org/observations/310647455,✨🌱 The Believing Naturalist 🌱✨,iNaturalist,Observations,iNaturalist research-grade observations,HUMAN_OBSERVATION,,https://www.inaturalist.org/observations/310647455,310647455,PRESENT,2025/08/31,08:32:04,8,2025-08-31 08:32:04,NORTH_AMERICA,US,California,"Los Angeles River Bicycle Trail, Long Beach, CA, US",33.805858,-118.204628,7,690754341,,,,✨🌱 The Believing Naturalist 🌱✨,,2025/09/01,,,,144537,,,,,,,,"Hydroprogne caspia (Pallas, 1770)",Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,Hydroprogne,caspia,StillImage,true,false,2481236,2481236,1,44,212,7192402,9316,2481219,2481236,Hydroprogne caspia,"Hydroprogne caspia (Pallas, 1770)",Hydroprogne caspia,https://www.inaturalist.org/projects/california-birds,false,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.19_1,Los Angeles,LC,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/560681853/original.jpg,https://www.inaturalist.org/photos/560681853,2025/08/31 15:32:04+00
